Comments,video source,topic,bias of video,bias,reply
"thank honest. best heard fight children, thank courage.",17.0,AL,2,2,0.0
"realize lawabiding citizen criminal criminal record mental health issues, background checks dont far!",6.0,GC,0,1,0.0
republicans want children dead. hate veterans teachers. voting republicans like poisoning,7.0,GC,0,0,0.0
"jesus way truth life... #yes gun control! #end abortion! #human rights climate change... #end corruption, crime, drug cartels terrorism!!",15.0,AL,1,2,0.0
"maintain right, regardless considerations, determine children, children chooses mother. margaret sanger",16.0,AL,2,0,0.0
"sorry, minimum wage causes unemployment poor hurts small businesses.",3.0,AA,1,2,0.0
"do, project. try understand violence create narratives it. uses sel (socialemotional learning) create type ptsd people act irrationally.",10.0,GC,2,2,0.0
@ratman better people countries prefer risk lives live secondclass citizens here... higher problem. country perfect. exceptionalism obsolete. continue lot offer.,,GC,1,1,
"long special admissions anyone, positive action some. asians fairness, pursued special admissions percent black students colleges. legacy, donors, sports admissions? according republicans lawsuit, students admitted merits (grades, sat scores, etc.)? special admissions eliminated, decision is... direct attack blacks?",5.0,AA,0,0,0.0
"@think difficult ah mean fact denied reason state abusing power ok ok understand. country juries go. tends fairer money (at thats image europe american system), lot regulation power money area, state wants dead, highly doubt owning gun help way. mean sleep. state to. disadvantage mayor. 1 weapon mean worst case army. dont thats better weapon^^ anyway, talk defense burglars crimes, doubt gun house existing advantage (you certainly feel like advantage) thought wrong simply crimes country. mean city, theres virtually reason woman shouldnt outside 4 a.m. drunk.",6.0,GC,0,0,1.0
"guy crazy. justice thomas pass legislation. court law. decide cases brought them. second amendment clear. liberals want change constitution, know how. votes it.",8.0,GC,1,2,0.0
abortion straight smiling face big eyes smiling face big eyes smiling face big eyes smiling face big eyes smiling face big eyes,13.0,AL,0,0,0.0
"asians ruin minorities! stop them! otherwise, colleges end diverse ever! stop sign people realize fight implicitly acting interests conservatives antidiversity antimulticulturalism place? people want abolish a.a. benefit majority, is, whites, asians. people dont care you, care themselves.",4.0,AA,0,0,0.0
* begins speech framework intellectual opponents straw man * proceeds use straw man demystify,0.0,AA,2,1,0.0
background checks joke havent committed crime doesnt mean wont one.,6.0,GC,0,1,0.0
illegal gun sales require background checks.,6.0,GC,0,0,1.0
"amazing people talk race extremely important live outside usa, news related racism! america lives 60s",5.0,AA,0,1,0.0
god bless tom.,17.0,AL,2,2,0.0
