Comments,video source,topic,bias of video,bias
Thank you very much for being so honest. That was the best I had heard and the most heart felt fight for our children thank you for your courage.,17,AL,2,2
"You realize the law Abiding Citizen
Could be a criminal with no arrest record or could have mental health issues so background check only goes so far !",6,GC,0,1
Republicans want to see your children dead. They hate veterans and teachers. Voting for Republicans is like poisoning yourself,7,GC,0,0
"JESUS IS THE WAY THE TRUTH AND THE LIFE... #YES TO GUN CONTROL! #END ABORTION!

#HUMAN RIGHTS AND CLIMATE CHANGE...
#END CORRUPTION, CRIMES, DRUG CARTEL AND TERRORISM!!!",15,AL,1,2
"“We further maintain that it is her right, regardless of all other considerations, to determine whether she shall bear children or not, and how many children she shall bear if she chooses to become a mother.”
Margaret Sanger",16,AL,2,0
"Sorry, minimum wage causes unemployment for the poor and it hurts small business.",3,AA,1,2
"They ALWAYS do what they say you are doing, PROJECTING. They are trying to insight violence to create narratives around it. This is all using SEL(social emotional learning) to create a type of PTSD to make people act out irrationally.",10,GC,2,2
"@ratman Being so much better that people from those countries would rather risk their lives getting here and live as second class citizens while here... that's a higher one.

No country is perfect. Exceptionalism is obsolete. But I still say we have a lot to offer.",9,GC,1,1
"As long as there are ""special admissions"" for anyone, there will always be affirmative action for some. If Asians were serious about ""fairness"", they would have gone after ALL special admissions and not just the less than one percent of Black students at most of these colleges.  What about legacy, donors, even athletic admissions?  According to Republicans and this lawsuit, all students be admitted on merits (grades, SAT scores, etc.) only?  Until ALL special admissions are eliminated, we will always see this ruling for what it is ..... a direct attack on Black people?",5,AA,0,0
"@Think Harder Ah you mean the fact that he got denied with no reason was the state abusing the power ok ok i get it. At least in my country for this we have juries were you can go. and it also tends to be more fair than whoever has mor emoney wins (at least thats the picture we in europe have from the US system), we have a lot more regulation for the power of money in that field at least

if the state wants you dead i highly doubt that owning a gun helps you in any way. i mean you have to sleep. the state doesnt have to. thats one mayor disadvantage you have. also 1 gun vs i mean worst case the army. i dont see how thats better than no gun^^
Anyway when we talk about defense against burglars or other crimes i would also doubt that with a gun in your home you got a existing advantage (you for sure feel like you got an advantage) but that thought could be off due to simply not a lot of crimes in my country. i mean in my city there is pretty much no reason for a woman not to be outside alone at 4AM and drunk",6,GC,0,0
"This guy is crazy.  Justice Thomas did not ""pass this law"".  The court does not make law.  They rule on cases before them.  The second amendment is quite clear.  If the liberals want to change the constitution they know how to do that.   They just can't get the votes to do it.",8,GC,1,2
Abortion is a right 😃😃😃😃😃,13,AL,0,0
"These Asians are going to ruin everything for all minorities! We have to stop them! Or else Colleges will end up less diverse than ever! 🛑 

Don’t these people realise their fight implicitly acts in the interest of conservatives who are anti-diversity and anti-multiculturalism in the first place? 

Those people want to abolish AA all together to benefit the majority - aka white people NOT Asians. Those people do not care about you, they care about themselves.",4,AA,0,0
*begins speech by using the frame of his intellectual opponents using a straw man *proceeds to use a straw man to debunk it,0,AA,2,1
Background checks are a joke because just because they haven't committed a crime yet doesn't mean they won't once they have one,6,GC,0,1
Illegal gun sales need background checks.,6,GC,0,0
"It’s unbelievable that in the USA Still people are talking about race like something extremely important 
If u live outside of the USA, everything in this news is related to racism !
America is still living in the 60s",5,AA,0,1
God bless you Tom.,17,AL,2,2
"@Lori Killion Because it was. Coloured slaves played a significant role in helping the development of the USA (1, 2). And those countries had colonies which they exploited the local population into gathering the land's resources to enrich themselves. It isn't just slavery but rather this includes all the racist policies and acts that befell the African population in the whole of the USA. And just because they are no longer in effect does not mean the consequences of these acts are not present. Take redlining for instance where African Americans were denied federal home loans, which allowed white families to increase their wealth while leaving Blacks behind in poverty. Even after these policies were removed blacks found themselves being unable to purchase property as they didn't have the finance to purchase them (3). And the reason many of these women have so children is due to a lack of sex education which is the result of poverty.

And I see you're using the Asians as the Perfect Minority example despite them only representing a few groups while ignoring those that are impoverished. Not only that but this ignores the fact that people who make up this ""ideal"" group originated from high-skill migrant families that came after these racist policies were removed. And yet whenever people try to help empower minorities you cry foul about how whites are being discriminated against despite the fact that these groups have faced constant discrimination from whites.

There should be. By increasing representation, you are given those marginalised a voice which allows their issues to be heard and focused on. In the long term, it helps improves the standard of their living conditions. What you are doing is pushing the blame of their current condition on themselves rather than acknowledge the consequences of historical acts of oppression.

1) https://sites.google.com/a/uconn.edu/jak13016/
2)https://www.history.com/news/slavery-profitable-southern-economy
3) https://www.youtube.com/watch?v=O5FBJyqfoLM",4,AA,0,0
"""Training ground for America's elite"" come on now you know the purpose of ivy league schools is for rich families to send their kids to meet other rich kids and marry into money.",4,AA,0,0
"So sad when little kids know to get down low, like it happens all the time.  Oh wait it does!",7,GC,0,0
"Professor Dyson's reaction to Thomas's concurrence is brilliant! He is exactly right ""Malignant Black self hatred"" is the cause of Thomas's destructive views.",5,AA,0,0
"""Study after study proves that guns deter crime..."" Care to give citations to these studies? I am only aware of a handful of such studies and the studies of Klepp have been critized for serious flaws. E.g. that the CDC is not allowed by law to collect any statistics on gun violence, so actually there is no hard data for gun deaths and gun related injuries, suicides etc. So Klepp did an opinion poll of gun owners to get at least some data. Opinion polls do not count as ""studies"" in the scientific sense if they do not control e.g. for false or boasting answers. This is where the 2,5 million prevented crimes number comes from: ""homeowner reported that he prevented 5 crimes last year"". The problem is that no police report might be filed if the gun is not fired and no blood is shed. So there is also no hard data on ""prevented crimes"" that would hold up to scientific scrutiny. Do not label deeply flawed studies conducted by mostly the same researchers, who are paid by weapon manufacturer lobbyists, as scientific consensus. That is just bad science reporting.",11,GC,2,0
Affirmative action failed though. The percent of African Americans are the same and it didn’t end up lifting them up from past discrimination.,4,AA,0,2
"You had the right not to get pregnant, you seem to just want no consequences.",13,AL,0,2
"@Greenie This is not a problem...it is a natural fact. We depend on women (females) to be willing participants in the procreative process. I would not exist...You would not exist without your mother or the woman who decided to carry you to term. This is the reality of life...a woman decides if you or I live or die...denying a basic fact of life will not make it go away. 
It is the hearts and minds, and if you will, souls of women that you must convince. Taking their tright to exist away is not the way to achieve the end goal that you are looking for...women,Females deciding to carry to term their pregnancy.  Whether to keep them or not is up to them but the life will still be there.",13,AL,0,0
Abortion is murder. We have a bunch of murderers running around.,15,AL,1,2
This ones the video that’ll bring America together,10,GC,2,2
Lol dude said guns were allowed because white supremacists wanted to suppress native Americans and blacks!  Omg the brainwashing is strong with this woketard 🤣,8,GC,1,2
"It won't matter because everyone will be dumb knowing only their pronouns, hundred genders, pride march every day of the year and AI will take over the human race anyway making us redundant.",1,AA,2,2
